Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2014-083843,7654355806,03/19/2014 04:45:00 AM,03/19/2014 04:45:00 AM,03/19/2014 05:13:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,B,B1,BALLARD SOUTH,52XX BLOCK OF BALLARD AVE NW,-122.382666321,47.66595739
2014-083851,7666187729,03/19/2014 05:11:00 AM,03/19/2014 05:11:00 AM,03/19/2014 05:11:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,L,L2,NORTHGATE,100XX BLOCK OF 5TH AVE NE,-122.323132515,47.70177867
2014-902303,7639601351,03/03/2014 05:50:00 AM,03/03/2014 05:55:00 AM,03/18/2014 05:58:00 AM,A,PROPERTY,FRAUD OFFENSES,Impersonation,26C,N,L,L2,NORTHGATE,12XX BLOCK OF NE 95TH ST,-122.313453665,47.69762592
2014-082724,7665404009,03/18/2014 05:14:00 AM,,03/18/2014 05:14:00 AM,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,S,R,R3,COLUMBIA CITY,M L KING JR WAY S / S HUDSON ST,-122.291120513,47.55705946
2014-080728,7679548717,03/16/2014 03:40:00 AM,,03/16/2014 05:36:00 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,E,E3,FIRST HILL,10XX BLOCK OF SPRING ST,-122.326346825,47.60981959
2014-080760,7676387491,03/15/2014 05:00:00 PM,03/16/2014 03:30:00 AM,03/16/2014 05:33:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,S,S3,RAINIER VIEW,100XX BLOCK OF 61ST AVE S,-122.257062311,47.51068632
2014-077208,7696792257,03/13/2014 05:40:00 AM,,03/13/2014 05:47:00 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,J,J1,GREENWOOD,6XX BLOCK OF NW 92ND ST,-122.36402439,47.69605606
2014-077102,7699271395,03/13/2014 01:01:00 AM,,03/13/2014 05:14:00 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,D,D1,BELLTOWN,1XX BLOCK OF EAGLE ST,-122.353400048,47.61803276
2014-077168,7663974916,03/13/2014 04:00:00 AM,,03/13/2014 05:11:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,M,M2,SLU/CASCADE,19XX BLOCK OF 6TH AVE,-122.337938767,47.61416919
2014-074938,7650654293,03/10/2014 12:00:00 PM,03/11/2014 05:40:00 AM,03/11/2014 05:40:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,E,C,C2,MILLER PARK,23XX BLOCK OF E ROY ST,-122.301782758,47.62519461
