Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2012-358139,7629385118,10/19/2012 02:00:00 AM,10/19/2012 03:25:00 AM,10/19/2012 03:29:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,22XX BLOCK OF SW BARTON ST,-122.362194333,47.52102591
2012-356805,7633585187,10/18/2012 03:30:00 AM,,10/18/2012 03:30:00 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,S,S,S1,MID BEACON HILL,S LUCILE ST / 20TH AVE S,-122.307335361,47.55340572
2012-356806,7633944451,10/18/2012 03:18:00 AM,10/18/2012 03:25:00 AM,10/18/2012 03:28:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U3,SANDPOINT,60XX BLOCK OF 36TH AVE NE,-122.289131717,47.67306451
2012-355456,7635901507,10/16/2012 11:00:00 PM,10/17/2012 03:00:00 AM,10/17/2012 03:28:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,Q,Q2,QUEEN ANNE,1XX BLOCK OF HOWE ST,-122.353792503,47.63571362
2012-354185,7656095616,10/15/2012 09:30:00 PM,10/16/2012 03:30:00 AM,10/16/2012 03:55:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,F,F3,HIGHLAND PARK,10XX BLOCK OF SW KENYON ST,-122.348690851,47.53191998
2012-354150,7635523817,10/16/2012 02:35:00 AM,,10/16/2012 03:05:00 AM,A,PROPERTY,ROBBERY,Robbery,120,W,K,K1,DOWNTOWN COMMERCIAL,COLUMBIA ST / 2ND AVE,-122.333824569,47.6037328
2012-354171,7683073281,10/16/2012 03:01:00 AM,,10/16/2012 03:01:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,S,O,O1,SODO,15XX BLOCK OF 1ST AVE S,-122.334196041,47.58927038
2012-352945,7636000860,10/15/2012 03:56:00 AM,,10/15/2012 03:56:00 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,E,E,E3,CAPITOL HILL,E PINE ST / BELLEVUE AVE,-122.326804185,47.61521815
2012-351861,7657192198,10/13/2012 10:30:00 PM,10/14/2012 03:20:00 AM,10/14/2012 03:53:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E2,CAPITOL HILL,10XX BLOCK OF E SENECA ST,-122.318848825,47.61217991
2012-351808,7696512762,10/14/2012 02:41:00 AM,,10/14/2012 03:40:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U2,UNIVERSITY,45XX BLOCK OF BROOKLYN AVE NE,-122.314261919,47.66218831
2012-351833,7679366213,10/14/2012 03:16:00 AM,,10/14/2012 03:16:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SW,W,W3,MORGAN,60XX BLOCK OF CALIFORNIA AVE SW,-122.387169563,47.54758718
2012-351157,7637724595,10/13/2012 01:45:00 PM,10/13/2012 04:13:00 PM,10/14/2012 03:10:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,E,E3,FIRST HILL,8XX BLOCK OF MARION ST,-122.327263378,47.60746321
2012-351822,7652488516,10/14/2012 03:03:00 AM,,10/14/2012 03:03:00 AM,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,6XX BLOCK OF 5TH AVE S,-122.327680646,47.59665538
2012-350604,7670442437,10/13/2012 03:55:00 AM,,10/13/2012 03:57:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SW,W,W3,MORGAN,63XX BLOCK OF 42ND AVE SW,-122.385741915,47.54589215
2012-350572,7660340054,10/13/2012 03:02:00 AM,,10/13/2012 03:48:00 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,E,C,C1,MILLER PARK,4XX BLOCK OF 15TH AVE E,-122.312636529,47.62259527
2012-350571,7683988832,10/13/2012 03:00:00 AM,,10/13/2012 03:00:00 AM,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,S,O,O3,GEORGETOWN,5TH AVE S / S MICHIGAN ST,-122.328389576,47.54565554
2012-349213,7688981915,10/12/2012 03:57:00 AM,,10/12/2012 03:57:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,K,K3,DOWNTOWN COMMERCIAL,6XX BLOCK OF YESLER WAY,-122.325479309,47.60170403
2012-347810,7681625963,10/11/2012 03:15:00 AM,,10/11/2012 03:15:00 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,E,C,C2,MILLER PARK,22ND AVE E / E ALOHA ST,-122.30357553,47.62682541
2012-345219,7643755514,10/09/2012 03:29:00 AM,,10/09/2012 03:29:00 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,S,S,S3,RAINIER BEACH,90XX BLOCK OF SEWARD PARK AVE S,-122.264496402,47.52240866
2012-343948,7657823682,10/08/2012 03:28:00 AM,,10/08/2012 03:28:00 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,O,O3,GEORGETOWN,56XX BLOCK OF AIRPORT WAY S,-122.319331948,47.5516794
2012-342760,7679527498,10/06/2012 11:50:00 PM,,10/07/2012 03:37:00 AM,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,E,E,E2,CAPITOL HILL,9XX BLOCK OF E MADISON ST,-122.320313017,47.61135552
2012-342848,7643145385,10/07/2012 03:16:00 AM,,10/07/2012 03:16:00 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SW,W,W3,MORGAN,82XX BLOCK OF 41ST AVE SW,-122.384691734,47.52958919
2012-341521,7698961288,10/06/2012 03:14:00 AM,,10/06/2012 03:24:00 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,Q,Q2,QUEEN ANNE,25XX BLOCK OF 15TH AVE W,-122.376163592,47.64156384
2012-341505,7695159782,10/06/2012 03:00:00 AM,,10/06/2012 03:00:00 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,S,R,R3,HILLMAN CITY,56XX BLOCK OF MARTIN LUTHER KING JR WAY S,-122.28811157,47.5516102
2012-338559,7658307564,10/04/2012 03:51:00 AM,,10/04/2012 03:51:00 AM,A,PERSON,HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,09A,S,S,S2,RAINIER BEACH,,0,0
2012-338543,7685276789,10/04/2012 02:00:00 AM,,10/04/2012 03:25:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SW,F,F2,SOUTH DELRIDGE,17XX BLOCK OF SW BARTON ST,-122.35714289,47.52103135
2012-337073,7663082981,10/03/2012 01:01:00 AM,,10/03/2012 03:07:00 AM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,W,D,D3,SLU/CASCADE,19XX BLOCK OF MINOR AVE,-122.332508229,47.61799402
2012-337073,7663082982,10/03/2012 01:01:00 AM,,10/03/2012 03:07:00 AM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,35B,W,D,D3,SLU/CASCADE,19XX BLOCK OF MINOR AVE,-122.332508229,47.61799402
2012-335726,7673285943,10/02/2012 02:46:00 AM,,10/02/2012 03:34:00 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,92XX BLOCK OF 35TH AVE SW,-122.376792267,47.52017448
2012-335595,7699037382,10/01/2012 11:52:00 PM,,10/02/2012 03:33:00 AM,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,E,C,C3,CENTRAL AREA/SQUIRE PARK,9XX BLOCK OF 27TH AVE,-122.297527444,47.61078453
2012-335738,7674183548,10/02/2012 03:10:00 AM,,10/02/2012 03:10:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,S,R,R3,HILLMAN CITY,48XX BLOCK OF S FINDLAY ST,-122.271282447,47.55189582
2012-335719,7655325860,10/02/2012 01:15:00 AM,10/02/2012 01:30:00 AM,10/02/2012 03:03:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,E,E,E2,CAPITOL HILL,10XX BLOCK OF E PIKE ST,-122.31879387,47.6140898
2012-333239,7673184891,09/30/2012 03:30:00 AM,,09/30/2012 03:45:00 AM,B,SOCIETY,"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",90F,SW,F,F1,HIGH POINT,,0,0
2012-333242,7664310347,09/30/2012 03:40:00 AM,09/30/2012 03:45:00 AM,09/30/2012 03:45:00 AM,A,PROPERTY,ROBBERY,Robbery,120,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,6XX BLOCK OF S WELLER ST,-122.325714573,47.59751407
2012-331625,7696702853,09/29/2012 02:15:00 AM,,09/29/2012 03:41:00 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SW,W,W2,ALASKA JUNCTION,45XX BLOCK OF 42ND AVE SW,-122.38545658,47.56197325
2012-331700,7698657153,09/29/2012 03:39:00 AM,,09/29/2012 03:39:00 AM,B,SOCIETY,"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",90F,S,R,R2,MOUNT BAKER,,0,0
2012-331588,7663566989,09/28/2012 09:00:00 PM,,09/29/2012 03:26:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,U,U2,UNIVERSITY,43XX BLOCK OF 7TH AVE NE,-122.320834237,47.66003567
2012-330024,7666194291,09/28/2012 03:40:00 AM,09/28/2012 03:49:00 AM,09/28/2012 03:49:00 AM,B,SOCIETY,"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",90F,SW,F,F1,HIGH POINT,,0,0
2012-330024,7666194294,09/28/2012 03:40:00 AM,09/28/2012 03:49:00 AM,09/28/2012 03:49:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SW,F,F1,HIGH POINT,,0,0
2012-328572,7645630612,09/27/2012 03:31:00 AM,,09/27/2012 03:31:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,E,G,G2,MADRONA/LESCHI,1XX BLOCK OF 23RD AVE S,-122.302235837,47.6010021
2012-327167,7682185582,09/26/2012 03:59:00 AM,,09/26/2012 03:59:00 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,L,L1,NORTHGATE,125XX BLOCK OF 5TH AVE NE,-122.323584796,47.72039418
2012-327027,7659238935,09/26/2012 12:26:00 AM,,09/26/2012 03:11:00 AM,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,S,R,R1,NORTH BEACON HILL,16TH AVE S / S COLLEGE ST,-122.312089222,47.58297759
2012-325811,7655746338,09/25/2012 03:15:00 AM,,09/25/2012 03:28:00 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,D,D3,EASTLAKE - WEST,22XX BLOCK OF YALE AVE E,-122.327110217,47.63898727
